week_number,week_start_date,week_end_date,ec_total,non_ec_total,overall_total
49,2025-11-30,2025-12-06,864034.74,689716.74,1553751.4800000004
34,2025-08-17,2025-08-23,902967.9399999998,649017.8500000001,1551985.79
39,2025-09-21,2025-09-27,891742.6000000002,653534.4399999998,1545277.0399999993
24,2025-06-08,2025-06-14,937798.3200000002,611465.1799999998,1549263.5000000002
3,2026-01-11,2026-01-17,827147.6900000001,605484.56,1432632.25
37,2025-09-07,2025-09-13,903906.6900000002,623840.2200000001,1527746.9100000001
32,2025-08-03,2025-08-09,902915.8,626823.81,1529739.6100000006
2,2026-01-04,2026-01-10,817171.3699999999,560834.3400000001,1378005.7100000002
16,2026-04-12,2026-04-18,976663.62,628264.26,1604927.8800000001
30,2025-07-20,2025-07-26,907849.98,596894.6599999998,1504744.6400000001
19,2025-05-04,2025-05-10,922047.9400000001,674945.2400000001,1596993.18
5,2026-01-25,2026-01-31,728629.57,444315.23,1172944.8
44,2025-10-26,2025-11-01,925275.6,716277.9699999999,1641553.5700000005
20,2025-05-11,2025-05-17,929218.8999999997,645360.61,1574579.5100000005
31,2025-07-27,2025-08-02,911115.4799999999,616902.3600000002,1528017.8400000008
17,2026-04-19,2026-04-25,1574611.3500000006,17359.32,1591970.6700000006
28,2025-07-06,2025-07-12,872992.0599999999,616359.14,1489351.2
1,2025-12-28,2026-01-03,817038.12,566864.27,1383902.3900000004
41,2025-10-05,2025-10-11,903997.7700000003,693484.5,1597482.27
42,2025-10-12,2025-10-18,888514.9100000001,686769.74,1575284.6499999994
21,2025-05-18,2025-05-24,913575.24,637237.9699000001,1550813.2099000008
7,2026-02-08,2026-02-14,888681.9299999999,715603.6099999998,1604285.5399999996
27,2025-06-29,2025-07-05,900264.0099999999,618331.29,1518595.3
25,2025-06-15,2025-06-21,938789.0800000001,607209.9,1545998.9800000004
45,2025-11-02,2025-11-08,923921.4699999999,719074.0999999999,1642995.5699999991
10,2026-03-01,2026-03-07,882303.8500000001,651455.6399999999,1533759.4900000002
33,2025-08-10,2025-08-16,892684.28,616948.0600000002,1509632.3400000005
26,2025-06-22,2025-06-28,964569.4900000001,622423.5700000001,1586993.0600000005
51,2025-12-14,2025-12-20,930389.96,648017.4299999998,1578407.3899999997
14,2026-03-29,2026-04-04,907881.69,659563.2500000001,1567444.94
13,2026-03-22,2026-03-28,946209.0599999998,655596.6399999999,1601805.7
4,2026-01-18,2026-01-24,804129.4400000002,603335.13,1407464.5699999998
23,2025-06-01,2025-06-07,956961.0599999999,621713.8799999999,1578674.94
12,2026-03-15,2026-03-21,914361.93,642456.0299999999,1556817.96
29,2025-07-13,2025-07-19,888981.9400000002,616195.55,1505177.4899999998
6,2026-02-01,2026-02-07,855568.56,545162.0500000002,1400730.61
38,2025-09-14,2025-09-20,916107.7000000004,658468.41,1574576.1099999999
8,2026-02-15,2026-02-21,780148.3100000002,635235.48,1415383.7899999998
40,2025-09-28,2025-10-04,919769.32,691840.1700000002,1611609.4900000007
18,2025-04-27,2025-05-03,946328.41,667176.0499999998,1613504.4599999993
9,2026-02-22,2026-02-28,731476.8699999998,659027.5100000001,1390504.3800000001
36,2025-08-31,2025-09-06,902708.59,611416.6,1514125.1900000002
15,2026-04-05,2026-04-11,926876.9099999998,628222.54,1555099.4500000007
47,2025-11-16,2025-11-22,915715.9200000002,711995.6400000001,1627711.5599999998
52,2025-12-21,2025-12-27,904785.55,524993.36,1429778.91
46,2025-11-09,2025-11-15,911478.7799999998,717759.4199999998,1629238.2000000002
43,2025-10-19,2025-10-25,915180.6800000002,711480.4600000001,1626661.1399999997
48,2025-11-23,2025-11-29,908242.79,689117.5599999999,1597360.3500000003
35,2025-08-24,2025-08-30,923948.3099999999,633242.6700000002,1557190.98
50,2025-12-07,2025-12-13,885543.6299999999,688958.76,1574502.39
22,2025-05-25,2025-05-31,890261.8500000003,614917.0000000001,1505178.85
11,2026-03-08,2026-03-14,908840.5499999999,644390.4700000001,1553231.02
